上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:105/10/07
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後賣價,發行股數 ,次日漲停價 ,次日跌停價
"3114","好德","11.60","0.00 ","11.65","11.80","11.60","57,000","664,750","25","11.55","11.60","50,013,691","12.75","10.45"
"3115","寶島極","12.80","+ 0.05 ","13.60","13.60","12.60","4,000","51,750","4","12.80","13.35","43,697,600","14.05","11.55"
"3118","進階","32.30","- 0.15 ","32.95","32.95","32.30","28,000","907,600","20","32.20","32.40","32,452,860","35.50","29.10"
"3122","笙泉","17.55","- 0.15 ","17.45","17.85","17.45","37,000","649,850","22","17.50","17.55","39,299,934","19.30","15.80"
"3128","昇銳","12.20","0.00 ","12.25","12.25","11.90","283,000","3,410,800","126","12.20","12.25","42,000,000","13.40","11.00"
"3131","弘塑","205.00","+ 3.50 ","204.00","210.00","203.00","617,000","127,652,500","520","205.00","206.00","24,683,843","225.50","184.50"
"3141","晶宏","40.85","- 0.20 ","41.70","41.75","40.65","1,690,000","69,709,800","943","40.85","40.90","62,938,728","44.90","36.80"
"3144","新揚科","16.70","+ 1.50 ","15.20","16.70","14.85","4,219,000","67,306,500","1,667","16.70","0.00","100,637,750","18.35","15.05"
"3152","璟德","210.50","- 4.00 ","216.00","218.00","210.50","750,000","159,781,000","640","210.50","211.00","69,016,200","231.50","189.50"
"3162","精確","6.81","0.00 ","6.83","6.86","6.78","25,000","170,680","15","6.76","6.81","56,531,342","7.49","6.13"
"3163","波若威","49.45","- 1.75 ","50.00","50.60","48.15","4,101,000","201,174,400","2,491","49.40","49.45","74,426,481","54.30","44.55"
"3169","亞信","25.15","+ 0.65 ","24.55","26.20","24.55","432,000","10,900,600","242","25.10","25.15","52,550,650","27.65","22.65"
"3171","新洲","19.30","- 0.45 ","19.80","19.90","19.00","42,000","806,300","31","19.20","19.30","59,203,515","21.20","17.40"
"3176","基亞","69.70","- 0.40 ","70.50","70.50","69.70","161,000","11,249,500","126","69.70","69.90","138,685,505","76.60","62.80"
"3188","鑫龍騰","16.30","- 0.10 ","16.40","16.40","16.25","31,000","504,850","20","16.30","16.40","106,295,120","17.90","14.70"
"3191","和進","15.30","+ 0.15 ","15.15","15.30","14.80","200,000","3,007,000","81","15.00","15.40","54,694,761","16.80","13.80"
"3202","樺晟","14.60","+ 0.05 ","14.55","14.70","14.45","736,000","10,732,850","294","14.60","14.65","96,687,192","16.05","13.15"
"3205","佰研","164.00","+ 10.50 ","155.50","167.00","152.50","2,325,000","372,551,500","1,920","163.50","164.00","32,769,028","180.00","148.00"
